affirm ==================================================

Combinations of 5 Words ------------------------------
in, the, part, of, town: 28
yes, for, restaurant, in, town: 4
yes, for, restaurant, the, north: 4
yes, for, restaurant, the, town: 4
yes, for, restaurant, part, town: 4
yes, for, restaurant, of, town: 4
yes, for, in, the, north: 4
yes, for, in, the, town: 4
yes, for, in, part, town: 4
yes, for, in, of, town: 4
yes, for, the, part, town: 4
yes, for, the, of, town: 4
yes, for, part, of, town: 4
im, looking, for, a, north: 4
im, looking, for, restaurant, north: 4
im, looking, for, restaurant, part: 4
im, looking, for, restaurant, of: 4
im, looking, for, restaurant, town: 4
im, looking, for, in, north: 4
im, looking, for, in, part: 4
im, looking, for, in, of: 4
im, looking, for, in, town: 4
im, looking, for, the, north: 4
im, looking, for, the, part: 4
im, looking, for, the, of: 4
im, looking, for, the, town: 4
im, looking, for, part, of: 4
im, looking, for, part, town: 4
im, looking, for, of, town: 4
im, looking, a, restaurant, north: 4
im, looking, a, restaurant, of: 4
im, looking, a, restaurant, town: 4
im, looking, a, in, north: 4
im, looking, a, in, of: 4
im, looking, a, in, town: 4
im, looking, a, the, north: 4
im, looking, a, the, of: 4
im, looking, a, the, town: 4
im, looking, a, of, town: 4
im, looking, restaurant, in, north: 4
im, looking, restaurant, in, part: 4
im, looking, restaurant, the, north: 4
im, looking, restaurant, the, part: 4
im, looking, restaurant, part, of: 4
im, looking, restaurant, part, town: 4
im, looking, in, the, north: 4
im, looking, in, the, part: 4
im, looking, in, part, of: 4
im, looking, in, part, town: 4
im, looking, the, part, of: 4
im, looking, the, part, town: 4
im, looking, part, of, town: 4
im, for, a, restaurant, north: 4
im, for, a, in, north: 4
im, for, a, the, north: 4
im, for, restaurant, in, north: 4
im, for, restaurant, in, part: 4
im, for, restaurant, in, of: 4
im, for, restaurant, in, town: 4
im, for, restaurant, the, north: 4
im, for, restaurant, the, part: 4
im, for, restaurant, the, of: 4
im, for, restaurant, the, town: 4
im, for, restaurant, part, of: 4
im, for, restaurant, part, town: 4
im, for, restaurant, of, town: 4
im, for, in, the, north: 4
im, for, in, the, part: 4
im, for, in, the, of: 4
im, for, in, the, town: 4
im, for, in, part, of: 4
im, for, in, part, town: 4
im, for, in, of, town: 4
im, for, the, part, of: 4
im, for, the, part, town: 4
im, for, the, of, town: 4
im, for, part, of, town: 4
im, a, restaurant, in, north: 4
im, a, restaurant, in, of: 4
im, a, restaurant, in, town: 4
im, a, restaurant, the, north: 4
im, a, restaurant, the, of: 4
im, a, restaurant, the, town: 4
im, a, restaurant, of, town: 4
im, a, in, the, north: 4
im, a, in, the, of: 4
im, a, in, the, town: 4
im, a, in, of, town: 4
im, a, the, of, town: 4
im, restaurant, in, the, north: 4
im, restaurant, in, the, part: 4
im, restaurant, in, part, of: 4
im, restaurant, in, part, town: 4
im, restaurant, the, part, of: 4
im, restaurant, the, part, town: 4
im, restaurant, part, of, town: 4
looking, for, a, restaurant, north: 4
looking, for, a, restaurant, part: 4
looking, for, a, restaurant, of: 4
looking, for, a, restaurant, town: 4
looking, for, a, in, north: 4
looking, for, a, in, part: 4
looking, for, a, in, of: 4
looking, for, a, in, town: 4
looking, for, a, the, north: 4
looking, for, a, the, part: 4
looking, for, a, the, of: 4
looking, for, a, the, town: 4
looking, for, a, part, of: 4
looking, for, a, part, town: 4
looking, for, a, of, town: 4
looking, for, restaurant, in, north: 4
looking, for, restaurant, the, north: 4
looking, for, in, the, north: 4
looking, a, restaurant, in, north: 4
looking, a, restaurant, in, part: 4
looking, a, restaurant, the, north: 4
looking, a, restaurant, the, part: 4
looking, a, restaurant, part, of: 4
looking, a, restaurant, part, town: 4
looking, a, in, the, north: 4
looking, a, in, the, part: 4
looking, a, in, part, of: 4
looking, a, in, part, town: 4
looking, a, the, part, of: 4
looking, a, the, part, town: 4
looking, a, part, of, town: 4
looking, restaurant, in, the, north: 4
for, a, restaurant, in, north: 4
for, a, restaurant, in, part: 4
for, a, restaurant, in, of: 4
for, a, restaurant, in, town: 4
for, a, restaurant, the, north: 4
for, a, restaurant, the, part: 4
for, a, restaurant, the, of: 4
for, a, restaurant, the, town: 4
for, a, restaurant, part, of: 4
for, a, restaurant, part, town: 4
for, a, restaurant, of, town: 4
for, a, in, the, north: 4
for, a, in, the, part: 4
for, a, in, the, of: 4
for, a, in, the, town: 4
for, a, in, part, of: 4
for, a, in, part, town: 4
for, a, in, of, town: 4
for, a, the, part, of: 4
for, a, the, part, town: 4
for, a, the, of, town: 4
for, a, part, of, town: 4
for, restaurant, in, the, north: 4
yes, can, i, a, in: 4
yes, can, i, a, the: 4
yes, can, i, a, part: 4
yes, can, i, a, of: 4
yes, can, i, a, town: 4
yes, can, a, restaurant, in: 4
yes, can, a, restaurant, the: 4
yes, can, a, restaurant, part: 4
yes, can, a, restaurant, of: 4
yes, can, a, restaurant, town: 4
yes, can, a, in, the: 4
yes, can, a, in, part: 4
yes, can, a, in, of: 4
yes, can, a, in, town: 4
yes, can, a, the, part: 4
yes, can, a, the, of: 4
yes, can, a, the, town: 4
yes, can, a, part, of: 4
yes, can, a, part, town: 4
yes, can, a, of, town: 4
yes, i, in, the, east: 4
yes, a, restaurant, in, east: 4
yes, a, restaurant, the, east: 4
yes, a, restaurant, east, of: 4
yes, a, restaurant, east, town: 4
yes, a, in, the, east: 4
yes, a, in, east, of: 4
yes, a, in, east, town: 4
yes, a, the, east, of: 4
yes, a, the, east, town: 4
yes, a, east, of, town: 4
a, restaurant, in, the, east: 4
a, restaurant, in, east, of: 4
a, restaurant, in, east, town: 4
a, restaurant, the, east, of: 4
a, restaurant, the, east, town: 4
a, restaurant, east, of, town: 4
a, in, the, east, of: 4
a, in, the, east, town: 4
a, in, east, of, town: 4
a, the, east, of, town: 4
yes, can, i, an, expensive: 4
yes, can, i, an, restaurant: 4
yes, can, an, expensive, restaurant: 4
yes, i, expensive, restaurant, in: 4
yes, i, expensive, restaurant, the: 4
yes, i, expensive, in, the: 4
yes, an, expensive, restaurant, in: 4
yes, an, expensive, restaurant, the: 4
yes, an, expensive, in, the: 4
yes, an, restaurant, in, the: 4
can, i, an, expensive, restaurant: 4
i, expensive, restaurant, in, the: 4
an, expensive, restaurant, in, the: 4
uh, yes, can, i, a: 4
uh, yes, can, i, the: 4
uh, yes, can, a, restaurant: 4
uh, yes, i, a, part: 4
uh, yes, i, a, of: 4
uh, yes, i, a, town: 4
uh, yes, i, restaurant, town: 4
uh, yes, i, in, town: 4
uh, can, i, a, in: 4
uh, can, i, a, the: 4
uh, can, i, a, part: 4
uh, can, i, a, of: 4
uh, can, i, a, town: 4
uh, can, i, restaurant, in: 4
uh, can, i, restaurant, the: 4
uh, can, i, restaurant, part: 4
uh, can, i, restaurant, of: 4
uh, can, i, restaurant, town: 4
uh, can, i, in, the: 4
uh, can, i, in, part: 4
uh, can, i, in, of: 4
uh, can, i, in, town: 4
uh, can, i, the, part: 4
uh, can, i, the, of: 4
uh, can, i, the, town: 4
uh, can, i, part, of: 4
uh, can, i, part, town: 4
uh, can, i, of, town: 4
uh, can, a, restaurant, in: 4
uh, can, a, restaurant, the: 4
uh, can, a, restaurant, part: 4
uh, can, a, restaurant, of: 4
uh, can, a, restaurant, town: 4
uh, can, a, in, the: 4
uh, can, a, in, part: 4
uh, can, a, in, of: 4
uh, can, a, in, town: 4
uh, can, a, the, part: 4
uh, can, a, the, of: 4
uh, can, a, the, town: 4
uh, can, a, part, of: 4
uh, can, a, part, town: 4
uh, can, a, of, town: 4
uh, can, restaurant, in, the: 4
uh, can, restaurant, in, part: 4
uh, can, restaurant, in, of: 4
uh, can, restaurant, in, town: 4
uh, can, restaurant, the, part: 4
uh, can, restaurant, the, of: 4
uh, can, restaurant, the, town: 4
uh, can, restaurant, part, of: 4
uh, can, restaurant, part, town: 4
uh, can, restaurant, of, town: 4
uh, can, in, the, part: 4
uh, can, in, the, of: 4
uh, can, in, the, town: 4
uh, can, in, part, of: 4
uh, can, in, part, town: 4
uh, can, in, of, town: 4
uh, can, the, part, of: 4
uh, can, the, part, town: 4
uh, can, the, of, town: 4
uh, can, part, of, town: 4
yes, can, i, get, restaurant: 4
yes, can, i, get, the: 4
yes, restaurant, in, south, part: 4
yes, restaurant, in, south, of: 4
yes, restaurant, the, south, part: 4
yes, restaurant, the, south, of: 4
yes, restaurant, south, part, of: 4
yes, in, the, south, part: 4
yes, in, the, south, town: 4
yes, in, south, part, of: 4
yes, in, south, of, town: 4
yes, the, south, part, of: 4
yes, the, south, of, town: 4
yes, south, part, of, town: 4
a, restaurant, in, the, south: 4
yes, i, restaurant, in, south: 4
yes, i, restaurant, the, south: 4
yes, i, in, the, south: 4
yes, i, the, north, part: 4
yes, i, the, north, of: 4
yes, i, the, north, town: 4
yes, i, north, part, of: 4
yes, i, north, part, town: 4
yes, i, north, of, town: 4
i, the, north, part, of: 4
i, the, north, part, town: 4
i, the, north, of, town: 4
i, north, part, of, town: 4
im, looking, for, a, that: 4
im, looking, for, a, serves: 4
im, looking, a, restaurant, that: 4
im, looking, a, restaurant, serves: 4
im, looking, a, that, serves: 4
im, looking, a, that, food: 4
im, looking, a, serves, food: 4
im, for, a, restaurant, that: 4
im, for, a, restaurant, serves: 4
im, for, a, that, serves: 4
im, for, a, that, food: 4
im, for, a, serves, food: 4
im, a, restaurant, that, serves: 4
im, a, restaurant, that, food: 4
im, a, restaurant, serves, food: 4
im, a, that, serves, food: 4
looking, for, a, restaurant, that: 4
looking, for, a, restaurant, serves: 4
looking, for, a, that, serves: 4
looking, for, a, that, food: 4
looking, for, a, serves, food: 4
looking, a, restaurant, that, serves: 4
looking, a, restaurant, that, food: 4
looking, a, restaurant, serves, food: 4
looking, a, that, serves, food: 4
for, a, restaurant, that, serves: 4
for, a, restaurant, that, food: 4
for, a, restaurant, serves, food: 4
for, a, that, serves, food: 4
a, restaurant, in, the, that: 4
a, restaurant, in, the, serves: 4
a, restaurant, in, the, food: 4
a, restaurant, the, that, serves: 4
a, in, the, that, serves: 4
restaurant, in, the, that, serves: 4
in, the, that, serves, food: 4
yes, id, like, a, restaurant: 4
uh, yes, i, find, a: 4
uh, yes, i, restaurant, that: 4
uh, yes, i, restaurant, serves: 4
uh, yes, i, that, serves: 4
uh, yes, find, a, restaurant: 4
uh, yes, a, in, that: 4
uh, yes, a, in, serves: 4
uh, yes, restaurant, in, that: 4
uh, yes, restaurant, in, serves: 4
uh, yes, in, that, serves: 4
uh, i, find, a, in: 4
uh, i, find, a, the: 4
uh, i, find, a, part: 4
uh, i, find, a, of: 4
uh, i, find, a, town: 4
uh, i, find, restaurant, in: 4
uh, i, find, restaurant, the: 4
uh, i, find, restaurant, part: 4
uh, i, find, restaurant, of: 4
uh, i, find, restaurant, town: 4
uh, i, find, in, the: 4
uh, i, find, in, part: 4
uh, i, find, in, of: 4
uh, i, find, in, town: 4
uh, i, find, the, part: 4
uh, i, find, the, of: 4
uh, i, find, the, town: 4
uh, i, find, part, of: 4
uh, i, find, part, town: 4
uh, i, find, of, town: 4
uh, i, restaurant, that, serves: 4
uh, find, a, restaurant, in: 4
uh, find, a, restaurant, the: 4
uh, find, a, restaurant, part: 4
uh, find, a, restaurant, of: 4
uh, find, a, restaurant, town: 4
uh, find, a, in, the: 4
uh, find, a, in, part: 4
uh, find, a, in, of: 4
uh, find, a, in, town: 4
uh, find, a, the, part: 4
uh, find, a, the, of: 4
uh, find, a, the, town: 4
uh, find, a, part, of: 4
uh, find, a, part, town: 4
uh, find, a, of, town: 4
uh, find, restaurant, in, the: 4
uh, find, restaurant, in, part: 4
uh, find, restaurant, in, of: 4
uh, find, restaurant, in, town: 4
uh, find, restaurant, the, part: 4
uh, find, restaurant, the, of: 4
uh, find, restaurant, the, town: 4
uh, find, restaurant, part, of: 4
uh, find, restaurant, part, town: 4
uh, find, restaurant, of, town: 4
uh, find, in, the, part: 4
uh, find, in, the, of: 4
uh, find, in, the, town: 4
uh, find, in, part, of: 4
uh, find, in, part, town: 4
uh, find, in, of, town: 4
uh, find, the, part, of: 4
uh, find, the, part, town: 4
uh, find, the, of, town: 4
uh, find, part, of, town: 4
uh, a, restaurant, in, that: 4
uh, a, restaurant, in, serves: 4
uh, a, in, that, serves: 4
uh, restaurant, in, that, serves: 4
yes, i, find, a, restaurant: 4
yes, i, in, the, that: 4
yes, i, in, the, serves: 4
yes, i, in, part, that: 4
yes, i, in, part, serves: 4
yes, i, in, of, that: 4
yes, i, in, of, serves: 4
yes, i, in, town, that: 4
yes, i, in, town, serves: 4
yes, i, in, that, serves: 4
yes, i, the, part, that: 4
yes, i, the, part, serves: 4
yes, i, the, of, that: 4
yes, i, the, of, serves: 4
yes, i, the, town, that: 4
yes, i, the, town, serves: 4
yes, i, the, that, serves: 4
yes, i, part, of, that: 4
yes, i, part, of, serves: 4
yes, i, part, town, that: 4
yes, i, part, town, serves: 4
yes, i, part, that, serves: 4
yes, i, of, town, that: 4
yes, i, of, town, serves: 4
yes, i, of, that, serves: 4
yes, i, town, that, serves: 4
yes, find, a, restaurant, in: 4
yes, find, a, restaurant, the: 4
yes, find, a, restaurant, part: 4
yes, find, a, restaurant, of: 4
yes, find, a, restaurant, town: 4
yes, find, a, in, the: 4
yes, find, a, in, part: 4
yes, find, a, in, of: 4
yes, find, a, in, town: 4
yes, find, a, the, part: 4
yes, find, a, the, of: 4
yes, find, a, the, town: 4
yes, find, a, part, of: 4
yes, find, a, part, town: 4
yes, find, a, of, town: 4
yes, find, restaurant, in, the: 4
yes, find, restaurant, in, part: 4
yes, find, restaurant, in, of: 4
yes, find, restaurant, in, town: 4
yes, find, restaurant, the, part: 4
yes, find, restaurant, the, of: 4
yes, find, restaurant, the, town: 4
yes, find, restaurant, part, of: 4
yes, find, restaurant, part, town: 4
yes, find, restaurant, of, town: 4
yes, find, in, the, part: 4
yes, find, in, the, of: 4
yes, find, in, the, town: 4
yes, find, in, part, of: 4
yes, find, in, part, town: 4
yes, find, in, of, town: 4
yes, find, the, part, of: 4
yes, find, the, part, town: 4
yes, find, the, of, town: 4
yes, find, part, of, town: 4
yes, a, restaurant, in, that: 4
yes, a, restaurant, in, serves: 4
yes, a, in, that, serves: 4
yes, restaurant, in, that, serves: 4
yes, in, the, part, that: 4
yes, in, the, part, serves: 4
yes, in, the, of, that: 4
yes, in, the, of, serves: 4
yes, in, the, town, that: 4
yes, in, the, town, serves: 4
yes, in, part, of, that: 4
yes, in, part, of, serves: 4
yes, in, part, town, that: 4
yes, in, part, town, serves: 4
yes, in, part, that, serves: 4
yes, in, of, town, that: 4
yes, in, of, town, serves: 4
yes, in, of, that, serves: 4
yes, in, town, that, serves: 4
yes, the, part, of, that: 4
yes, the, part, of, serves: 4
yes, the, part, town, that: 4
yes, the, part, town, serves: 4
yes, the, part, that, serves: 4
yes, the, of, town, that: 4
yes, the, of, town, serves: 4
yes, the, of, that, serves: 4
yes, the, town, that, serves: 4
yes, part, of, town, that: 4
yes, part, of, town, serves: 4
yes, part, of, that, serves: 4
yes, part, town, that, serves: 4
yes, of, town, that, serves: 4
i, find, a, restaurant, in: 4
i, find, a, restaurant, the: 4
i, find, a, restaurant, part: 4
i, find, a, restaurant, of: 4
i, find, a, restaurant, town: 4
i, find, a, in, the: 4
i, find, a, in, part: 4
i, find, a, in, of: 4
i, find, a, in, town: 4
i, find, a, the, part: 4
i, find, a, the, of: 4
i, find, a, the, town: 4
i, find, a, part, of: 4
i, find, a, part, town: 4
i, find, a, of, town: 4
i, find, restaurant, in, the: 4
i, find, restaurant, in, part: 4
i, find, restaurant, in, of: 4
i, find, restaurant, in, town: 4
i, find, restaurant, the, part: 4
i, find, restaurant, the, of: 4
i, find, restaurant, the, town: 4
i, find, restaurant, part, of: 4
i, find, restaurant, part, town: 4
i, find, restaurant, of, town: 4
i, find, in, the, part: 4
i, find, in, the, of: 4
i, find, in, the, town: 4
i, find, in, part, of: 4
i, find, in, part, town: 4
i, find, in, of, town: 4
i, find, the, part, of: 4
i, find, the, part, town: 4
i, find, the, of, town: 4
i, find, part, of, town: 4
i, in, the, part, that: 4
i, in, the, part, serves: 4
i, in, the, of, that: 4
i, in, the, of, serves: 4
i, in, the, town, that: 4
i, in, the, town, serves: 4
i, in, the, that, serves: 4
i, in, part, of, that: 4
i, in, part, of, serves: 4
i, in, part, town, that: 4
i, in, part, town, serves: 4
