utterance,act
uh what about chinese food,reqalts
does it serve chinese food,confirm
im looking for a cheap restaurant that serves,inform
russian,inform
type of food,request
type of food,request
im looking for a cheap restaurant that serves,inform
chinese,inform
dont care,inform
whats the address,request
whats the phone number,request
thank you good bye,thankyou
i need a special restaurant serving christmas food,request
what about british food,reqalts
i need an expensive restaurant serving british food,inform
no,negate
i need an expensive restaurant serving british food,inform
can i get the phone number,request
thank you good bye,thankyou
sil,no_act
west,inform
traditional,inform
british,inform
yes,affirm
moderate,inform
address,request
phone number,request
thank you,thankyou
good bye,bye
unintelligible,no_act
doesnt matter,inform
it doesnt matter,inform
signaporian,inform
north american,inform
yes,affirm
yes,affirm
whats the address,request
and whats the phone number,request
and whats the post code,request
thank you good bye,thankyou
i want a basque food restaurant,inform
i dont care,inform
basque food,inform
how about,no_act
spanish food,inform
i dont care,inform
what is the address,request
what is the area,request
thank you good bye,thankyou
hi im looking for moderately priced,inform
yes,affirm
dont care,inform
bistro food,inform
how about asian oriental,reqalts
i would like asian oriental,inform
yes,affirm
whats the address,request
whats the phone number,request
thank you good bye,thankyou
im looking for a cheap restaurant in the west part of town,inform
it doesnt matter,inform
i need the address and phone number,request
thank you good bye,thankyou
can you tell me a restaurant in the south part of town,reqalts
uh it doesnt matter,inform
whats the price range,request
um i need a cheap restaurant,inform
whats the address,request
and whats the post code,request
how about the phone number,request
thank you good bye,thankyou
east part of town,inform
any kind,inform
moderate,inform
anything else,reqalts
address,request
phone number,request
post code,request
thank you good bye,thankyou
noise,no_act
i dont care noise,inform
venetian,inform
mediterranean,inform
expensive,inform
whats the address,request
whats the phone number,request
thank you goodbye,thankyou
im looking for an expensive restaurant in the east,inform
i dont care,inform
whats the phone number,request
thank you good bye,thankyou
id like a restaurant that serves turkish food,inform
it doesnt matter,inform
doesnt matter,inform
yes,affirm
any price range,inform
is there anything else,reqalts
what is the address and post code,request
sil,no_act
hello hello oh your on the phone yea,hello
good bye,bye
find restaurant in north part of town serving fusion food,inform
find restaurant in north part of town serving asian,inform
find restaurant in north part of town,inform
no,negate
find restaurant serving asian,inform
start over,restart
find restaurant serving asian oriental,inform
yes,affirm
no,negate
find,no_act
restaurant,inform
find restaurant,inform
serving asian oriental,inform
whats the address and phone number,request
thank you good bye,thankyou
sil,no_act
doesnt matter,inform
expensive,inform
yes danish food,affirm
no danish,negate
danish,inform
danish,inform
what type of food,request
do you have any asian oriental food,inform
whats the phone number,request
what area,request
thank you good bye,thankyou
noise,no_act
north,inform
christmas,inform
hello,hello
address,request
phone number,request
price range,request
thank you good bye,thankyou
im looking for a restaurant,inform
not,negate
north part of town,inform
unintelligible,no_act
im looking for a restaurant in the north part,inform
can i have the phone number and the price range,request
can i have the price range,request
thank you good bye,thankyou
im looking for a moderately priced restaurant,inform
ah i dont care,inform
indian food,inform
the address,request
phone number,request
the area,request
the area,request
what area of town,request
thank you thank you goodbye,thankyou
im looking for a restaurant in the east part of town that serves belgium food,inform
is there a restaurant that serves indian food,reqalts
